dataset,split,id,gold,pred,rouge_score,argument,stance,comment,comment_length
abortion,5,ab151,"If the mother wants an abortion bad enough she shall get the fetus out any way possible, but if it were illegal she would be going into dark alleys to get it done.","I believe that it is better off being legal, but moderated as well",0.087,Abortion is a woman’s right.,Pro,"Please not that this debate has nothing to do with the legality of abortion. I believe that it is better off being legal, but moderated as well. If the mother wants an abortion bad enough she shall get the fetus out any way possible, but if it were illegal she would be going into dark alleys to get it done.",308
abortion,2,ab201,"So many liberals out there try to paint this idealistic picture that you can make stupid decisions without any real consequences, but that's simply not true. When you have unprotected sex, a baby is conceived.","You chose to act irresponsibly. Now you must face the consequences, and just because you don't want to does NOT give you the right to terminate the existence of a potential human being.",0.1714,Be willing to have the baby if you have sex.,Con,"Yeah sure, I'm pro-choice... pro-choice in the sense that the choice is made when the soon-to-be mother chose to act irresponsibly and have unprotected sex.   So many liberals out there try to paint this idealistic picture that you can make stupid decisions without any real consequences, but that's simply not true. When you have unprotected sex, a baby is conceived. At that moment, whether the baby has a pumping heart or not, it becomes a mother's natural and personal responsibility to do what is best for the baby. That could mean one of many options, such as raising the baby yourself, putting it up for adoption, or any number of alternatives. But I will tell you, as basic human decency should tell you, that anyone arguing that the termination of that baby is what's best for the baby is wrong in the most perverse way conceivable.   You chose to act irresponsibly. Now you must face the consequences, and just because you don't want to does NOT give you the right to terminate the existence of a potential human being.  Now, of course there are cases of rape and/or incest conceptions. In these cases, I do not feel that the mother should be forced to carry a child she does not deserve to have. She did nothing wrong, and should not be forced to carry the offspring of her rapist. But at the same time, I still believe that life begins at conceptions, and at that point it become a moral judgment for the mother to make. Do you believe in giving life to another human being, filling it with opportunity to make a name for himself or herself, or do you believe that you'd like to deliver children following consensual and natural intercourse between a man and a woman? At that point, the government should have nothing to do at all with the mother's say; she is no longer the irresponsible one, but rather the victim of a gruesome and despicable crime.",1863
abortion,5,ab2,Abortion is taking the life of a living human being.,"Abortion is taking the life of a living human being. Isn't abortion really the worst case of child abuse you can think of? Every abortionists task is to dismember, kill in any way possible...the living human child in the womb. Death is the only goal. The fetus might be small but nevertheless science says it is human and it is alive. What is it called when you take someones life without their permission? Isn't this murder? I am all for the right of women to choose but when that choice kills another living human being that right should not exist. The living human growing inside her body is not part of her. It has its own bodily systems, its own DNA, fingerprints etc.",0.1471,Abortion kills a life.,Con,"Abortion is taking the life of a living human being. We see society up in arms about animal rights and animal abuse. Isn't abortion really the worst case of child abuse you can think of? Every abortionists task is to dismember, kill in any way possible...the living human child in the womb. Death is the only goal. The fetus might be small but nevertheless science says it is human and it is alive. What is it called when you take someones life without their permission? Isn't this murder? If you defend the womans choice to kill saying it is her choice....then should you enslave her by putting restrictions on when the killing takes place? Thus late term abortions should be legal if you are pro-abortion. When does her right to body sovereignty end?   I am all for the right of women to choose but when that choice kills another living human being that right should not exist. The living human growing inside her body is not part of her. It has its own bodily systems, its own DNA, fingerprints etc.",1002
abortion,3,ab439,"If it is alive, then destroying it would be murder.",,0.0,Abortion kills a life.,Con,"Abortion can only come down to one question: Is the fetus alive or not. If it is alive, then destroying it would be murder. The burden that a life may create should always take a back seat to that life being give a CHANCE to exist. We have no problem saying that James E. Holmes murdered in the movie theater in Colorado. What if some of those people had become a burden on their family? Is it suddenly NOT murder any more?   Also, the difference between a fetus that can be destroyed in a 'Partial-birth"" abortion and a live baby that has full protection of the law is a distance of only a few inches down the birth canal. Killing it in the birth canal is the same as killing it in the womb.",692
abortion,2,ab255,"most late-term abortions amount to clear infanticide, as the baby is actually living outside of the womb before it is killed.","At some point, the living thing inside a woman's womb becomes a human being.",0.1622,Abortion kills a life.,Con,"I am so on the basis of Natural Rights. At some point, the living thing inside a woman's womb becomes a human being. I do not believe this to be at conception, and I cannot define exactly when that point is. But it is fairly clear to me that it is not one instant before birth. My daughter was born six weeks premature. If she had not been premature, would it have been legitimate to abort her two weeks later? Would it be legitimate for a woman to delay labor via drugs and have her baby aborted past the time it was actually due? And finally, most late-term abortions amount to clear infanticide, as the baby is actually living outside of the womb before it is killed. Must I accept this in order to be ""pro-choice"" in your eyes? Must I oppose a first-trimester abortion of a rape or incest victim in order to be ""pro-life""?  You make the argument that ""pro-life"" people should be for legal abortion, since legal abortion leads to fewer abortions and deaths of mothers having abortions. I question these data. Most of the countries where abortion is illegal are poorer and have other problems -- it is thus hard to isolate the effect of abortion laws on abortion rates.  But, for the sake of argument, let's say you are right: Would this then also justify any other crime? What if the legalization of murdering one person a year was demonstrated to reduce the total number of violent crimes -- could it be justified? You are using utilitarian ethics, whereas many non-religious and some religious abortion opponents use Natural Rights ethics. Utilitarianism allows for any abrogation of rights if it can be seen as being ""in the common good,"" whereas Natural Rights allow for no such abrogations. There is nothing hypocritical about being a Natural Rights-based opponent of abortion.",1785
abortion,3,ab334,There's no point in fighting for something that isn't a living breathing thing- embryos do NOT count,"If that child cannot be brought into a life of happiness and a healthy, stable environment- they really don't need to be brought into the world at all.",0.0833,Unwanted babies are ill-treated by parents and/or not always adopted.,Pro,"I believe that abortion is something we should embrace as an option but not as the only solution. I saw an awful interview with a woman who ""survived abortion"" during the seventh month of her mothers pregnancy. She of course is now a pro lifer and spews misinformation about Obama being a baby killer. Nowadays abortions are not typically done at that point of a pregnancy. If a baby cannot survive outside the womb, or outside of an artificial womb known as an incubator, there is nothing morally or ethically wrong about aborting that said baby. A child changes the lives of many people involved. If that child cannot be brought into a life of happiness and a healthy, stable environment- they really don't need to be brought into the world at all. We're there medically. If, according to an above poster, it is the woman's fault, then it of course is also the woman's choice. There's no point in fighting for something that isn't a living breathing thing- embryos do NOT count",979
abortion,2,ab143,abortion kills the entire individual organism.,Abortion IS murder people there is no denying that and you can't prove its not.,0.0909,Abortion kills a life.,Con,"1. Your fingernails and hair do not make up the whole of you as a human. Without your hair or fingernails you would survive. On the contrary, abortion kills the entire individual organism.  2. That whole issue is inconsequential.  3. Science is silent on the issue of morality. However science does agree that the fetus has an individual genetic code and fits into the biological definition of life. It is an individual human by all biological standards. It is in no way a part of the mother, it just depends on the mother for survival (and so are children outside the womb). Because of this it is deserving of all human rights everyone else has. Unless you can show it is not an individual human or it is not alive, anything else is superfluous.  4. You're just stating the positive side of the coin whereas I said the negative.  5. You're refusing to answer the basic data over and over. Please share how a human fetus is not alive or how it is not an individual with a unique genetic code.",992
abortion,4,ab442,A childless couple isn't acting irresponsibly if they are prepared to take responsibility if they have sex.,"They can have sex, but they must be prepared to deal with the result of it.",0.1765,Be willing to have the baby if you have sex.,Con,"They can have sex, but they must be prepared to deal with the result of it. Since when was sex the only thing that kept together a marriage? The purpose of marriage is to start a family, which includes supporting each other in BOTH good times and BAD. If you aren't trying to start a family then GTFO :)  A childless couple isn't acting irresponsibly if they are prepared to take responsibility if they have sex.",412
abortion,4,ab139,Since when is it acceptable for people say that because it's not 'quite human' we can just do whatever the heck we want with it?  The logic of something needing to PROVE that it has a right to live is just sick.,"Why is it okay to kill an unborn child, period?",0.1132,An unborn baby is a human and has the right to live.,Con,"Abortion:  When life becomes subjective, and a killing an option.   Since when is it acceptable for people say that because it's not 'quite human' we can just do whatever the heck we want with it?  The logic of something needing to PROVE that it has a right to live is just sick. Why is it that we get to define when it's okay to exterminate something?  Why is it okay to kill an unborn child, period? It might be understandable in some situations, but it doesn't make the choice RIGHT.  I LOVE how a person can go to jail for killing their household pets, but then it's suddenly perfectly okay to kill an unborn child because it hasn't met someone's standards of ""It deserves to livee~""  I can support a person's decision on the matter when it is completely necessary, but all the people who think abortion is all right and good is just sick :/",845
abortion,4,ab220,This is a person who even though they might not get an abortion themselvesâ¦is willing to sit by quietly while others kill in the name of CHOICE,DOES NOT WANT LEGAL PROTECTION FOR THE LIVING HUMAN BEING IN THE WOMB,0.1463,An unborn baby is a human and has the right to live.,Con,"Anyone who is pro-choice is pro-abortionâ¦there is no difference. They don't like the label however but its the truth. I just got banned from a place because I refused to stop using the term pro-abort to describe someone who â¦DOES NOT WANT LEGAL PROTECTION FOR THE LIVING HUMAN BEING IN THE WOMB. This is not a pro-life person. This is a person who even though they might not get an abortion themselvesâ¦is willing to sit by quietly while others kill in the name of CHOICE.   THEY ARE PRO-ABORTS. I can just see someone at a Right to Life conventionâ¦standing up and sayingâ¦."" I am pro-life but believe that women should have the choice to kill."" They would be laughed out of the room.  There is no difference between someone who is pro-abortion and someone who is pro-choiceâ¦they want the same thingâ¦.legalized killing.   Cutting off a piece of skinâ¦.compared to stopping a beating heart of a human in the wombâ¦..you think is the same thing? Laughableâ¦won't even comment.  You probably no doubt think that killing a bug is the same as killing a human beingâ¦.hey they are both alive right?  Yes babies are costly. How much did your parents foot the bill for your maintenance? At least your mother allowed you lifeâ¦and you are here debating and defending the rights of other mothersâ¦to kill, to take away the rights of others. What is it that Ronald Reagan saidâ¦it was so true.  âAbortion is advocated only by persons who have themselves been born.â?  Questionâ¦.I know you are pro-abortion. Do you believe the a woman has the right to kill throughout the entire nine months? Oh I can't wait to see just how many rights you give womenâ¦.to own their bodies.   Why is abortion bad you ask?   You said and I quoteâ¦.""I think you'll have to look very hard to find someone who is actually pro abortion, I've definitely never met someone who openly admits to that. It's pro-choice.""  What is wrong with owning the label? You tell me what is wrong with being called pro-abortion? Is there something wrong with abortion Ben?  If there isâ¦then why do you support it? If there isn'tâ¦why isn't the label ok?   LOL",2137
