dataset,split,id,gold,pred,rouge_score,argument,stance,comment,comment_length
abortion,1,ab372,"A nervous system is required to feel, but without a proper mind, one in development it isn't feeling anything we might consider human.","A nervous system is required to feel, but without a proper mind, one in development it isn't feeling anything we might consider human.   Secondly one is animal the other is plant.",0.8571,"A fetus is not a human yet, so it's okay to abort.",Pro,"Nonsense the foetus has a central nervous system fruit do not.   A nervous system is required to feel, but without a proper mind, one in development it isn't feeling anything we might consider human.   Secondly one is animal the other is plant.   Plants have systems which are alike our nervous system, merely simpler and with different purpose.",345
abortion,5,ab227,i think that if you are adult enough to have sex you better be adult enough to take on the responsibilites that come along with having sex.,i think that if you are adult enough to have sex you better be adult enough to take on the responsibilites that come along with having sex,1.0,Be willing to have the baby if you have sex.,Con,ummmm no you are so wrong in my opinon! i think that if you are adult enough to have sex you better be adult enough to take on the responsibilites that come along with having sex.,179
abortion,4,ab210,WOMEN CAN DO WHATEVER THE HELL THEY'D LIKE TO DO WITH THEIR OWN BODIES.,WOMEN CAN DO WHATEVER THE HELL THEY'D LIKE TO DO WITH THEIR OWN BODIES,1.0,Abortion is a woman’s right.,Pro,You are sickening. The odds of a mother not being able to have children later are so low. You need to get this:  WOMEN CAN DO WHATEVER THE HELL THEY'D LIKE TO DO WITH THEIR OWN BODIES. I don't care what your sociopathic disgusting god says.,240
abortion,4,ab448,"I believe abortion is 100% okay up until a certain point in the pregnancy, but during and after that point in the pregnancy, it's 100% wrong.","I believe abortion is 100% okay up until a certain point in the pregnancy, but during and after that point in the pregnancy, it's 100% wrong.",1.0,"A fetus is not a human yet, so it's okay to abort.",Pro,"I'm a moderate on this issue. I believe abortion is 100% okay up until a certain point in the pregnancy, but during and after that point in the pregnancy, it's 100% wrong. Both radical sides of this argument are stupid; sorry. There won't be a solution to the abortion issue until people take a stance that isn't stupid and/or insane. Compromise on subjects that are not inherently black and white is the only want to go withing being unproductive.",448
abortion,3,ab282,I am against abortion because it is practically kill the baby inside the womb. And that is a innocent child in the womb if you decide to abort the child you are basically committing murder and destroying a innocent life.,I am against abortion because it is practically kill the baby inside the womb. And that is a innocent child in the womb if you decide to abort the child you are basically committing murder and destroying a innocent life.,1.0,Abortion kills a life.,Con,I am against abortion because it is practically kill the baby inside the womb. And that is a innocent child in the womb if you decide to abort the child you are basically committing murder and destroying a innocent life.,220
abortion,1,ab431,"It's a separate human life form inside the woman's body, but it in no way is a part of her body.","It's a separate human life form inside the woman's body, but it in no way is a part of her body.",1.0,An unborn baby is a human and has the right to live.,Con,"It's not a sentient being.   I never disputed this. I asked if, on your view, the retarded, senile, and comatose are all in the same boat as fetuses as none of them are self-aware and some are not feeling.   It is the woman's body.   It's a separate human life form inside the woman's body, but it in no way is a part of her body. In the same way a splinter is in my body but not a part of my body. The fetus is not an organ of the mother.   It is none of your business what another does with their body.   It is in the case of depriving someone else of their rights, like murder.   Only religious superstition.   I haven't once made a religious statement here. I've only given statements from biology.   One of the reasons your religion is so evil and dangerous when weilded by most of you, you cannot even see your own totalitarian views on morality should you be given enough power in any situation to control others, and you will literally make-up bullshit like your argument to justify it.   Cool red herring and ad hominem.   If god doesn't like it let him come tell people otherwise. Until then tell your fellow christians to stop with the abortion doctor death threats and scaring girls on their way to clinics.   Only if you actually answer the one question I've asked and stick with biology instead of emotion.   If god is all powerful he's killing more fetuses than every abortion doctor combined.   You really enjoy ruddy fish.  So can I get an answer to my question up top now?",1490
abortion,4,ab62,"In the case of rape or incest, forcing a woman made pregnant by this violent act would cause further psychological harm to the victim.","In the case of rape or incest, forcing a woman made pregnant by this violent act would cause further psychological harm to the victim.",1.0,Rape victims need it to be legal.,Pro,"In the case of rape or incest, forcing a woman made pregnant by this violent act would cause further psychological harm to the victim. Often a woman is too afraid to speak up or is unaware she is pregnant, thus the morning after pill is ineffective in these situations.",269
abortion,1,ab456,A person shouldn't be allowed to kill a future child.,A person shouldn't be allowed to kill a future child.,1.0,An unborn baby is a human and has the right to live.,Con,No it isn't stupid. A person shouldn't be allowed to kill a future child. They are willing enough to create the child and I believe that they need to own up to their own responsibilities. It was their choice to tango and they need to pay up for it. God wanted the child there for a reason. There is always adoption as an option!,328
gayRights,2,gr128,"Opponents of this, are forgetting that there is a separation of church and state.","Opponents of this, are forgetting that there is a separation of church and state.",1.0,Religion should not be used against gay rights.,Pro,"While a person may not agree with it morally, Gay marriage does nothing that physicly hurts anyone. Opponents of this, are forgetting that there is a separation of church and state. Its time to quit policing peoples morals and learn that two concenting adults should be able to have the same rights as anyone else. Its called America folks...Remember ""The Land of the Free""?",374
gayRights,3,gr103,Not only is marrige defined in the dictionary as a bond between a man and a woman; it is also defined that way in the bible.,Not only is marrige defined in the dictionary as a bond between a man and a woman; it is also defined that way in the bible.,1.0,Religion does not permit gay marriages.,Con,"Not only is marrige defined in the dictionary as a bond between a man and a woman; it is also defined that way in the bible. Now I'm not trying to be a holier-than-thou Jesus freak, but generally what the bible says goes. Just ask the founding fathers.",252
gayRights,2,gr266,it is not like they chose to but even if they did it is still not acceptable to ban it.,it is not like they chose to but even if they did it is still not acceptable to ban it,1.0,People are born gay.,Pro,"YES it is not our right to judge people for being Gay, it is not like they chose to but even if they did it is still not acceptable to ban it.",142
gayRights,3,gr13,There is a logical reason to engage in homosexual behavior...it's natural.,There is a logical reason to engage in homosexual behavior...it's natural.,1.0,People are born gay.,Pro,"And I loathe stupidity. There is a logical reason to engage in homosexual behavior...it's natural. It doesn't detrimentally affect society, and it does not infringe on another's right to self-determination. Logic would dictate laws that preventing same sex couples from marriage while allowing heterosexual couples to marry is fundamentally unfair and antiquated.",363
