dataset,split,id,gold,pred,rouge_score,argument,stance,comment,comment_length
abortion,2,ab439,"If it is alive, then destroying it would be murder.",Abortion IS murder people there is no denying that and you can't prove its not.,0.1538,Abortion kills a life.,Con,"Abortion can only come down to one question: Is the fetus alive or not. If it is alive, then destroying it would be murder. The burden that a life may create should always take a back seat to that life being give a CHANCE to exist. We have no problem saying that James E. Holmes murdered in the movie theater in Colorado. What if some of those people had become a burden on their family? Is it suddenly NOT murder any more?   Also, the difference between a fetus that can be destroyed in a 'Partial-birth"" abortion and a live baby that has full protection of the law is a distance of only a few inches down the birth canal. Killing it in the birth canal is the same as killing it in the womb.",692
abortion,5,ab113,it's simply not our choice to decide what people want to do with their bodies,yeah so people have the right to decide. certain things happen in life and some people may not be able to support a baby. if a girl gets raped and becomes pregnant does she really want to carry that man's child? i wouldn't. plus some women have serious conditions so if they do carry a child to term they could die in labor. this is not good and they should have an abortion to save their life. it's simply not our choice to decide what people want to do with their bodies and if they feel it is not killing someone then it is not on our plates it is on theirs.,0.2443,Rape victims need it to be legal.,Pro,yeah so people have the right to decide. certain things happen in life and some people may not be able to support a baby. if a girl gets raped and becomes pregnant does she really want to carry that man's child? i wouldn't. plus some women have serious conditions so if they do carry a child to term they could die in labor. this is not good and they should have an abortion to save their life. it's simply not our choice to decide what people want to do with their bodies and if they feel it is not killing someone then it is not on our plates it is on theirs.,561
abortion,3,ab161,"Even if you somehow managed make it illegal, guess what, there would still be just as many abortions.  The only difference is that they will get abortions in dirty basements like they did before it was legal, and more mothers would die.","2. If you don't want an abortion,  you  don't have to get one.",0.1404,Abortion is a woman’s right.,Pro,"I take it from that statement then that you are also against capital punishment, and for Universal Healthcare.  Christians are such hypocrites, I seriously dislike you people.  1. It has no more feelings or emotions than this keypad I'm typing on until the 3rd trimester, and then about as much feeling and emotion as a grasshopper.  2. If you don't want an abortion,  you  don't have to get one. Why every Jesus Cannibal thinks they have to dictate everyone else's life is a mystery to me.  3. Even if you somehow managed make it illegal, guess what, there would still be just as many abortions.  The only difference is that they will get abortions in dirty basements like they did before it was legal, and more mothers would die.  So ""Pro-Life"" would actually end up costing more life.  Congratulations, way to kill a bunch of young mothers Edward. Jesus isn't going to give you a cookie now.",894
abortion,2,ab185,it is inmoral according to philosophy.,"In my opinion it is wrong, because you kill a baby, even if he was not born. We have to save lives, but not to kill them.",0.1818,Abortion kills a life.,Con,"In my opinion it is wrong, because you kill a baby, even if he was not born. We have to save lives, but not to kill them. Also, it is inmoral according to philosophy. In addition, it harms to the health of woman. Even in future this woman cannot have any babies.",262
abortion,1,ab16,The truth isâ¦from conception that which is in the womb is alive. Most abortions happen after the heart starts beating.,"The truth isâ¦from conception that which is in the womb is alive. Most abortions happen after the heart starts beating.   ""In the third month, your baby is the size of a small apple and is fully formed. She has grown from 1 to 3 inches and weighs about 1 Â½ ounces by month end. Her head now sits on her neck and you can even see the whorl of a hair pattern on the top of her head. Her head is still very large and makes up half the length of her body. Her eyes are moving closer together and her ears are continuing to form. She has taste buds and has developed the sucking reflex. She is beginning to practice her swallowing too. Teeth buds have also begun to form, as well as fingernails and toenails. Her major organs, as well as her sex organs have formed and are developing steadily. Your placenta has now developed and has taken over hormone production.""  Most abortions happen around this gestational age. Wow a lot happening eh? It is not just a glob of tissue.   THIS IS FACT. Why can't you pro-aborts just admit it.",0.1944,An unborn baby is a human and has the right to live.,Con,"What is false about anything I have posted concerning abortion?   This issue is a piece of cake. Let science and medicine speak the truth. The truth isâ¦from conception that which is in the womb is alive. Most abortions happen after the heart starts beating.   ""In the third month, your baby is the size of a small apple and is fully formed. She has grown from 1 to 3 inches and weighs about 1 Â½ ounces by month end. Her head now sits on her neck and you can even see the whorl of a hair pattern on the top of her head. Her head is still very large and makes up half the length of her body. Her eyes are moving closer together and her ears are continuing to form. She has taste buds and has developed the sucking reflex. She is beginning to practice her swallowing too. Teeth buds have also begun to form, as well as fingernails and toenails. Her major organs, as well as her sex organs have formed and are developing steadily. Your placenta has now developed and has taken over hormone production.""  Most abortions happen around this gestational age. Wow a lot happening eh? It is not just a glob of tissue.   THIS IS FACT. Why can't you pro-aborts just admit it. However barbaricâ¦abortion should be celebrated and should be allowedâ¦however horrendous it is.   You are the ones who can't face the facts in the moral debate on abortions. You are blind to what the truth says.",1381
abortion,2,ab368,"Abortion procedures are inhumane,,,we don't even do it on animals like we do humans",Abortion is taking a life and that is bad.,0.08,Abortion kills a life.,Con,"And people who are pro-choice want abortions legal. They want laws in place that give the woman the option of killing. And if we had a nationwide voteâ¦and a pro choicer votedâ¦which would he voteâ¦..Pro-choice abortion or no abortion?   So you think abortion is badâ¦but yet you want it legal so others can do it. LOL  Abortion is taking a life and that is bad. Abortion procedures are inhumane,,,we don't even do it on animals like we do humans.  Nothing is good about abortion.   Now I know why you won't answer the â¦do you believe the woman has the right to kill throughout her entire pregnancy? Because if you say yesâ¦then wowâ¦you look terrible even to the pro-choicers who use viability as an excuse,,,and if you say noâ¦then you enslave the woman and your excuse that abortion should be legal because its the woman's body and should be her decisionâ¦.is shot down. What is itâ¦.answer the question. I am debating your position on this and need to know. Are you afraid to answer?  It proves that you were blessed with lifeâ¦..circular or not. The statement Reagan made is true. We are given life, liberty and the pursuit of happiness in our Constitutionâ¦.but without life we can't have the others. And we deny that which is in the womb the things you and I take for granted.",1296
abortion,5,ab130,"It isn't your responsibility to teach others moral lessons that involve contracting fatal diseases, or ruining their lives.","If a woman doesn't have the economic resources to support the child, abortion is also an option.",0.1081,Mother is not healthy/financially solvent.,Pro,"Yes personal responsibility is a terrible thing...something we should never expect of anyone...   I'll be more blunt. It isn't your responsibility to teach others moral lessons that involve contracting fatal diseases, or ruining their lives. Such behaviour is vindictive and arrogant.   How subjectively arbitrary, you think your opinion here gives weight to your argument? Interesting.   It isn't arbitrary. It aligns with law.   Semantics, depends which nation you live in.  OK Abortion is killing, pure and simple...  Have I seen a foetus?  What a stupid question...what relevance is that?   Being against killing isn't much of an argument. We kill every day. As far as I and anyone who has ever looked at a foetus is concerned, killing a foetus is little different from killing an Apple when you made cider.",811
abortion,2,ab377,"It is not a problem, it is a life.","It is not a problem, it is a life.   If you tripped and broke your arm should you NOT get a cast on it just because you were foolish enough to trip?   A broken arm is an injury, easily mended. When a person's life ends, there can be to going back.   Why does that backwards logic only apply to abortion then?   It is in no way backward logic. You are equating a human life to a broken bone. If it weren't for that life there would be no bone to break!",0.1765,An unborn baby is a human and has the right to live.,Con,"So a woman should go out of her way to NOT solve a problem just because she got herself into it?   It is not a problem, it is a life.   If you tripped and broke your arm should you NOT get a cast on it just because you were foolish enough to trip?   A broken arm is an injury, easily mended. When a person's life ends, there can be to going back.   Why does that backwards logic only apply to abortion then?   It is in no way backward logic. You are equating a human life to a broken bone. If it weren't for that life there would be no bone to break!",550
gayRights,5,gr249,They deny over one thousand federal benefits to people legally married in several states who happen to be of the same sex.,Gay people should have the same rights as straight people.,0.1875,Religion should not be used against gay rights.,Pro,"As you say, ""Marriage is something in particular."" Its a legal union requiring a license from a government office, not from a religious organization. That's why gay people are fighting for ""equal rights"", not ""equal rites.""   For the government to remain neutral on this issue, they need to stop denying gay people the same rights as others to marry. As it is, the federal government is anything but neutral. They deny over one thousand federal benefits to people legally married in several states who happen to be of the same sex.",531
gayRights,4,gr229,"Actually Hinduism and early scriptures on Buddhism do not place any discernible restriction on homosexuality. In fact, Hindu mythic stories have portrayed homosexual experience as natural and joyful.","Actually Hinduism and early scriptures on Buddhism do not place any discernible restriction on homosexuality. In fact, Hindu mythic stories have portrayed homosexual experience as natural and joyful. I can't speak for Islam or Judaism because I have no knowledge of them, so I'll skip over them. But that's not the point I want to make.  The meaning of the pursuit of the marriage between homosexual couples is in the desire to be seen as a legal, justifiable entity with the same freedoms that we heterosexuals take for granted. Why should this be allowed? Well, why not? Why does it seem as though the sanctions of governmental regulation is influenced by Christianity? The concept of marriage long predates most religions, including Christianity. Actually, it was established as a means to restrict the promiscuity of the couple, or group, as polygamy existed when it was established as well.   The problem is that regulations that are established now were molded by, and cater to, Christians for the most part. It is not the government's job to act as a church; it acts to preserve itself and the rights of the governed. Why would it be beneficial to have a government that imbues ""unequal"" rights to law-abiding citizens? Just to cater to religiously-uptight citizens who don't even have a particular adherence to the religion in the first place?",0.2154,Religion should not be used against gay rights.,Pro,"Actually Hinduism and early scriptures on Buddhism do not place any discernible restriction on homosexuality. In fact, Hindu mythic stories have portrayed homosexual experience as natural and joyful. I can't speak for Islam or Judaism because I have no knowledge of them, so I'll skip over them. But that's not the point I want to make.  The meaning of the pursuit of the marriage between homosexual couples is in the desire to be seen as a legal, justifiable entity with the same freedoms that we heterosexuals take for granted. Why should this be allowed? Well, why not? Why does it seem as though the sanctions of governmental regulation is influenced by Christianity? The concept of marriage long predates most religions, including Christianity. Actually, it was established as a means to restrict the promiscuity of the couple, or group, as polygamy existed when it was established as well.   The problem is that regulations that are established now were molded by, and cater to, Christians for the most part. It is not the government's job to act as a church; it acts to preserve itself and the rights of the governed. Why would it be beneficial to have a government that imbues ""unequal"" rights to law-abiding citizens? Just to cater to religiously-uptight citizens who don't even have a particular adherence to the religion in the first place?",1351
